Direction,Name of Asset,Coupon Rate,Maturity Date,Trade Date,Settlement Date,Ytm,Price,Face Value,Consideration,Principal ,Accrued Interest
Buy,EGYPT 8 1/2 01/31/47,0.085,2047-01-31,2025-08-22,2025-08-26,0.10173431526672726,85.5,250000,215284.72222222222,213750.0,1534.7222222222222
Buy,EGYPT 8 1/2 01/31/47,0.085,2047-01-31,2025-08-22,2025-08-26,0.10239237206803624,85.0,250000,214034.72222222222,212500.0,1534.7222222222222
Buy,T 4 3/4 05/15/55,0.0475,2055-05-15,2025-08-22,2025-08-25,0.04853635718208791,98.37109,2000000,1993810.688888889,1967421.8,26388.88888888889
Buy,EGYPT 8.7002 03/01/49,0.08700200000000001,2049-03-01,2025-08-22,2025-08-26,0.10163343508813821,87.0,250000,228073.15972222222,217500.0,10573.159722222224
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-08-05,2025-08-22,2025-08-26,0.11345475277486239,84.0,250000,214622.4,210000.0,
Buy,EGYPT 8 1/2 01/31/47,0.085,2047-01-31,2025-08-22,2025-08-26,0.10173431526672726,85.5,250000,215284.72222222222,213750.0,1534.7222222222222
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-08-05,2025-08-22,2025-08-26,0.11381254729832317,83.75,250000,213997.4,209375.0,
Buy,ANGOL 9 3/8 05/08/48,0.09375,2048-08-05,2025-08-22,2025-08-26,0.11352616616437511,83.95,2000000,1715979.17,1679000.0,
Buy,ANGOL 9 1/8 11/26/49,0.09125,2049-11-26,2025-08-22,2025-08-26,0.11351877115999552,81.7,2000000,1679625.0,1634000.0,45625.0
Sell,T 4 3/4 08/15/55,0.0475,2055-08-15,2025-09-16,2025-09-17,0.04670067755886369,101.27734,2000000,2034065.8217391304,2025546.8,8519.021739130434
Buy,T 4 3/4 08/15/55,0.0475,2055-08-15,2025-09-17,2025-09-18,0.04627055456221083,101.976563,2000000,2048308.4339130435,2039531.26,8777.173913043478
Sell,T 4 3/4 05/15/55,0.0475,2055-05-15,2025-09-17,2025-09-18,0.04626945111300593,101.96875,2000000,2071902.1739130435,2039375.0,32527.17391304348
Sell,EGYPT 8 1/2 01/31/47,0.085,2047-01-31,2025-09-17,2025-09-19,0.0982270897525397,88.25,750000,670552.0833333334,661875.0,8677.083333333334
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-12-15,2025-09-17,2025-09-19,0.11248058036577846,84.625,264000,229872.5,223410.0,6462.5
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-12-15,2025-09-17,2025-09-19,0.11248058036577846,84.625,1000000,870729.1666666666,846250.0,24479.166666666668
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-12-15,2025-09-17,2025-09-19,0.11248058036577846,84.625,1500000,1306093.75,1269375.0,36718.75
Sell,ANGOL 9 1/8 11/26/49,0.0913,2049-11-26,2025-09-17,2025-09-19,0.11208968961052668,82.75,1000000,856158.0555555555,827500.0,28658.055555555555
Sell,ANGOL 9 1/8 11/26/49,0.0913,2049-11-26,2025-09-17,2025-09-19,0.11208968961052668,82.75,1000000,856158.0555555555,827500.0,28658.055555555555
Sell,ANGOL 9 1/8 11/26/49,0.0913,2049-11-26,2025-09-17,2025-09-19,0.11191269956240948,82.875,1000000,857408.0555555555,828750.0,28658.055555555555
Sell,ANGOL 9 1/8 11/26/49,0.0913,2049-11-26,2025-09-17,2025-09-19,0.11173616910709896,83.0,1700000,1459718.6944444445,1411000.0,48718.694444444445
Sell,EGYPT 8.7002 03/01/49,0.087,2049-03-01,2025-09-17,2025-09-19,0.09885059032464229,89.25,1000000,896850.0,892500.0,4350.0
Sell,KENINT 8 1/4 02/28/48,0.0825,2048-02-28,2025-09-17,2025-09-19,0.09227547988251844,90.75,1700000,1550931.25,1542750.0,8181.25
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-12-15,2025-09-17,2025-09-19,0.1119557453125859,85.0,1000000,874479.1666666666,850000.0,24479.166666666668
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-12-15,2025-09-17,2025-09-19,0.11178167706728395,85.125,1000000,875729.1666666666,851250.0,24479.166666666668
Sell,NGERIA 7 5/8 11/28/47,0.0763,2047-11-28,2025-09-17,2025-09-19,0.08990154445079368,87.0,2200000,1965756.8333333333,1914000.0,51756.83333333334
Sell,NGERIA 8 1/4 09/28/51,0.0825,2051-09-28,2025-09-17,2025-09-19,0.09162939060962422,91.0,2400000,2278050.0,2184000.0,94050.0
Sell,NGERIA 9.248 01/21/49,0.0925,2049-01-21,2025-09-17,2025-09-19,0.09040581794469575,102.0,1700000,1759334.7222222222,1734000.0,25334.722222222223
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-12-15,2025-09-17,2025-09-19,0.11160804401273017,85.25,1500000,1315468.75,1278750.0,36718.75
Sell,EGYPT 8 7/8 05/29/50,0.08875,2050-05-29,2025-09-17,2025-09-19,0.09863799639330605,90.88,500000,467959.02777777775,454400.0,13559.02777777778
Sell,EGYPT 8 1/2 01/31/47,0.085,2047-01-31,2025-09-17,2025-09-19,0.0982270897525397,88.25,2000000,1788138.888888889,1765000.0,23138.888888888887
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-12-15,2025-09-17,2025-09-19,0.11230519503284214,84.75,1000000,871979.1666666666,847500.0,24479.166666666668
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-12-15,2025-09-17,2025-09-19,0.1119557453125859,85.0,2000000,1748958.3333333333,1700000.0,48958.333333333336
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-12-15,2025-09-17,2025-09-19,0.11153871221836473,85.3,1000000,877479.1666666666,853000.0,24479.166666666668
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-12-15,2025-09-17,2025-09-19,0.11140025612487901,85.4,236000,207321.08333333334,201544.0,5777.083333333334
Buy,SEPLLN 9 1/8 03/21/30,0.09125,2030-03-21,2025-10-03,2025-10-07,0.08373501597965223,102.74,500000,515727.77777777775,513700.0,2027.7777777777778
Buy,ETI 10.125% 10/15/2029,0.10125,2029-10-15,2025-10-03,2025-10-07,0.07981066535921028,107.25,500000,560437.5,536250.0,24187.5
Buy,ANGOL 9.875 10/15/35,0.09875,2035-10-15,2025-10-09,2025-10-15,0.10079503711299671,98.73,1000000,987300.0,987300.0,0.0
Buy,ANGOL 9.875 10/15/35,0.09875,2035-10-15,2025-10-09,2025-10-15,0.10060027908805688,98.85,1000000,988500.0,988500.0,0.0
Buy,ANGOL 9.875 10/15/35,0.09875,2035-10-15,2025-10-09,2025-10-15,0.10076255495046847,98.75,1000000,987500.0,987500.0,0.0
Buy,ANGOL 9.875 10/15/35,0.09875,2035-10-15,2025-10-09,2025-10-15,0.1009657146083466,98.625,1000000,986250.0,986250.0,0.0
Buy,ANGOL 9.875 10/15/35,0.09875,2035-10-15,2025-10-09,2025-10-15,0.10092505469383757,98.65,1000000,986500.0,986500.0,0.0
Buy,NIGERIA 10.375 9/12/34,0.10375,2034-12-09,2025-10-10,2025-10-15,0.08654515622416137,110.7,1500000,1714968.75,1660500.0,54468.75
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-05-08,2025-10-14,2025-10-16,0.11425852601202773,83.5,1000000,866510.42,835000.0,31510.42
Sell,ANGOL 9 3/8 05/08/48,0.09375,2048-05-08,2025-10-14,2025-10-16,0.11425852601202773,83.5,1000000,866510.42,835000.0,31510.42
